sampleID	region	sample	site_name	site_code	region_code	sampleType	filter	primer	runSize
EB101	Waigeo	WGO_10	Arborek	ARBO	WG_ARBO	water	12um	cox1	2x250
EB102	Waigeo	WGO_11	Ruvas	RUVA	WG_RUVA	water	0.4um	cox1	2x250
EB103	Waigeo	WGO_11	Ruvas	RUVA	WG_RUVA	water	12um	cox1	2x250
EB104	Waigeo	WGO_11	Ruvas	RUVA	WG_RUVA	sediment	0.4um	cox1	2x250
EB105	Waigeo	WGO_12	Piaynemo	PIAY	WG_PIAY	water	0.4um	cox1	2x250
EB106	Waigeo	WGO_13	Paniki Besar Island	PANI	WG_PANI	water	0.4um	cox1	2x250
EB107	Waigeo	WGO_16	Yansawai	YANS	WG_YANS	water	12um	cox1	2x250
EB108	Waigeo	WGO_17	Arefi	AREF	WG_AREF	water	12um	cox1	2x250
EB109	Waigeo	WGO_18	Saonek	SAON	WG_SAON	water	0.4um	cox1	2x250
EB110	Waigeo	WGO_02	Yenbuba	YEBB	WG_YEBB	water	0.4um	cox1	2x250
EB111	Waigeo	WGO_02	Yenbuba	YEBB	WG_YEBB	sediment	0.4um	cox1	2x250
EB112	Waigeo	WGO_03	Yenwapnor	YENW	WG_YENW	water	0.4um	cox1	2x250
EB113	Waigeo	WGO_03	Yenwapnor	YENW	WG_YENW	sediment	0.4um	cox1	2x250
EB114	Waigeo	WGO_04	Friwen	FRIN	WG_FRIN	water	0.4um	cox1	2x250
EB115	Waigeo	WGO_04	Friwen	FRIN	WG_FRIN	sediment	0.4um	cox1	2x250
EB116	Waigeo	WGO_05	Yenbuba 1	YEB1	WG_YEB1	sediment	0.4um	cox1	2x250
EB117	Waigeo	WGO_07	Friwen Wall	FRIW	WG_FRIW	sediment	0.4um	cox1	2x250
EB118	Waigeo	WGO_08	Yenbeser	YENB	WG_YENB	water	0.4um	cox1	2x250
EB119	Waigeo	WGO_08	Yenbeser	YENB	WG_YENB	sediment	0.4um	cox1	2x250
EB120	Waigeo	WGO_09	Cape Kri	CKRI	WG_CKRI	water	0.4um	cox1	2x250
EB121	Waigeo	WGO_09	Cape Kri	CKRI	WG_CKRI	sediment	0.4um	cox1	2x250
EB134	Waigeo	WGO_01	Sawandarek	SAWA	WG_SAWA	sediment	0.4um	cox1	2x250
EB135	Waigeo	WGO_10	Arborek	ARBO	WG_ARBO	water	0.4um	cox1	2x250
EB136	Waigeo	WGO_12	Piaynemo	PIAY	WG_PIAY	sediment	0.4um	cox1	2x250
EB137	Waigeo	WGO_13	Paniki Besar Island	PANI	WG_PANI	sediment	0.4um	cox1	2x250
EB138	Waigeo	WGO_14	Gof Island	GGOF	WG_GGOF	sediment	0.4um	cox1	2x250
EB139	Waigeo	WGO_16	Yansawai	YANS	WG_YANS	sediment	0.4um	cox1	2x250
